Job Family,Skill Family,Core Skill,Sub Skill,Placeholder for tools
Network,Network Data,Routing & Switching,Brocade,-
Network,Network Data,Routing & Switching,Cisco Routing,-
Network,Network Data,Routing & Switching,Force10,-
Network,Network Data,Routing & Switching,Juniper,-
Network,Network Data,Routing & Switching,Fiber Channel Switches ,
Network,Network Data,Routing & Switching,Dell,-
Network,Network Data,Routing & Switching,Extreme,-
Network,Network Data,Routing & Switching,nexsus,-
Network,Network Data,Routing & Switching,Cisco Switching,-
Network,Network Data,Routing & Switching,Aruba,-
Network,Network Data,Routing & Switching,Meraki,-
Network,Network Data,Routing & Switching,Cisco Routers and Switches.,
Network,Network Data,Routing & Switching,Juniper MX,
Network,Network Data,Routing & Switching,Juniper Router ,
Network,Network Data,Routing & Switching,Juniper Switches ,
Network,Network Data,Routing & Switching,Cisco Nexus Switches ,
Network,Network Data,Routing & Switching,Data Center Switching ,
Network,Network Data,Routing & Switching,CCIE Routing & Switching,
Network,Network Data,Routing & Switching,Policy Based Routing,
Network,Network Data,Routing & Switching,Routing Tables,
Network,Network Data,Routing Protocol Management,Enhanced Interior Gateway Routing Protocol,
Network,Network Data,Routing Protocol Management,Open Shortest Path First ,
Network,Network Data,Routing Protocol Management,Broder Gateway Protocol ,
Network,Network Data,Routing Protocol Management,Routing Information Protocol,
Network,Network Data,Routing Protocol Management,Virtual Routing Forwarding,
Network,Network Data,Routing Protocol Management,Dynamic Routing,
Network,Network Data,Routing Protocol Management,Gateway Load Balancing Protocol,
Network,Network Data,Routing Protocol Management,Hot Standby Routing Protocol,
Network,Network Data,Routing Protocol Management,Secure File Transfer Protocol ,
Network,Network Data,WAN Optimization ,Riverbed ,
Network,Network Data,WAN Optimization ,SilverPeak,
Network,Network Data,Loadbalancer,Citrix NetScaler,-
Network,Network Data,Loadbalancer,Kemp,-
Network,Network Data,Loadbalancer, F5 GTM,-
Network,Network Data,Loadbalancer, F5 LTM (Big IP),-
Network,Network Data,Loadbalancer,Failover,
Network,Network Data,Loadbalancer,GRE Tunnels,
Network,Network Voice,Telecom,AVAYA PBX,
Network,Network Voice,Telecom,SIEMENS PBX,
Network,Network Voice,Telecom,Erricson PBX,
Network,Network Voice,Telecom,Public Switch Telephone Network,
Network,Network Voice,Telecom,Synchronous Digital Hierarchy,
Network,Network Voice,Telecom,Passive Optical Networks,
Network,Network Voice,Telecom,Gigabit Capable Passive Optical Network,
Network,Network Voice,Telecom,Optical Network,
Network,Network Voice,Telecom,Call Manager,
Network,Network Voice,Telecom,Fiber Optic Networking,
Network,Network Voice,Telecom,Cisco Emergency Responder,
Network,Network Voice,Telecom,Unified Communications & Collaboration,
Network,Network Voice,Telecom,Unified Comunication Services,
Network,Network Voice,Telecom,Unified Communications  ,
Network,Network Voice,Telecom,Unified Communication Platform,
Network,Network Voice,Telecom,Telephone System,
Network,Network Voice,Telecom,Voice Over IP,
Network,Network Voice,Telecom,Operational Support Systems,
Network,Network Voice,IP TELEPHONY,Cisco,-
Network,Network Voice,IP TELEPHONY,Avaya,-
Network,Network Voice,IP IVR Configuration,IP IVR,
Network,Network Voice,IP Voice Over Sytems,IP Phones,
Network,Network Voice,Call Center Technologies,Avaya,-
Network,Network Voice,Call Center Technologies,Cisco,-
Network,Network Voice,Call Center Technologies,Verint\nice call recording,-
Network,Network Data,Network Client VPN,Juniper SSL VPN,-
Network,Network Data,Network Client VPN,Cisco ASA ,
Network,Network Data,IP/DNS,Infoblox,
Network,Network Data,IP/DNS,BT Diamand,
Network,Network Data,IP/DNS,IP Multicast,
Network,Network Mobility,MDM,Airwatch,
Network,Network Mobility,MDM,BES 5,
Network,Network Mobility,MDM,MaaS360,
Network,Network Mobility,MDM,Xenmobile,
Network,Network Mobility,MDM,BES 12,
Network,Network Mobility,TEM/TLM/CPO,Tangoe,
Network,Network Mobility,TEM/TLM/CPO,Ariba,
Network,Network Mobility,TEM/TLM/CPO,Wireline & Mobile Carriers(ATT/Verizon/L3/BT/OSN),
Network,Network Mobility,TEM/TLM/CPO,CMP,
Network,Network Fundamentals,Networking Fundamentals,Cisco Devices,
Network,Network Fundamentals,Networking Fundamentals,IT Networking,
Network,Network Fundamentals,Networking Fundamentals,Network Protocols,
Network,Network Fundamentals,Networking Fundamentals,Cisco Networking Fundamentals,
Network,Network Fundamentals,Networking Basics,Computer Networking,
Network,Network Fundamentals,Networking Basics,Computer Networking Systems,
Network,Network Fundamentals,Networking Fundamentals,Enterprise Network,
Network,Network Fundamentals,Networking Fundamentals,Enterprise Network Security,
Network,Network Fundamentals,Business Networking Strategy,Business Networking,
Network,Network Fundamentals,Networking Technologies,Cisco Networking Technology,
Network,Network Fundamentals,Networking Technologies,Cisco Technology,
Network,Network Fundamentals,Networking Technologies,Network Management,
Network,Network Fundamentals,Networking Technologies,Network Technologies ,
Network,Network Fundamentals,Networking Technologies,Network Connectivity,
Network,Network Fundamentals,Networking Technologies,Networking Support,
Network,Network Fundamentals,IP Routing,Layer 3 Virtual Private Networks,
Network,Network Fundamentals,IP Routing,Virtual private Networks,
Network,Network Fundamentals,IP Routing,Wide Area Network,
Network,Network Fundamentals,IP Routing,WAN Technologies  ,
Network,Network Fundamentals,IP Routing,WAN Networking ,
Network,Network Fundamentals,IP Routing,IP Networks,
Network,Network Fundamentals,Network Management,Network Configuration Management,
Network,Network Fundamentals,Network Management,Network Monitoring ,
Network,Network Fundamentals,Network Management,Network Monitoring Tools,
Network,Network Fundamentals,Network Management,Networking Tools,
Network,Network Fundamentals,Network Management,Network Troubleshooting,
Network,Network Fundamentals,Network Management,Network Configuration,
Network,Network Fundamentals,Hardware Configuration and Management,Networking Hardware,
Network,Network Fundamentals,Hardware Configuration and Management,Hardware Configurations ,
Network,Network Fundamentals,Hardware Configuration and Management,Apple Macintosh,
Network,Network Fundamentals,Hardware Configuration and Management,Macintosh Hardware,
Network,Network Fundamentals,Hardware Configuration and Management,Server Hardware ,
Network,Network Fundamentals,Hardware Configuration and Management,IT Hardware ,
Network,Network Fundamentals,Network Management,Network Layers,
Network,Network Infrastructure,Network Design & Architecture,Network Design,
Network,Network Infrastructure,Network Design & Architecture,Cisco Digital Network Architecture,
Network,Network Infrastructure,Network Design & Architecture,Cisco IP Telephone Design,
Network,Network Infrastructure,Network Design & Architecture,Cisco QoS,
Network,Network Infrastructure,Network Design & Architecture,Network Infrastructure Architecture,
Network,Network Infrastructure,Network Design & Architecture,5G Core Network Architecture,
Network,Network Infrastructure,Network Design & Architecture,Network Architecture,
Network,Network Infrastructure,Network Design & Architecture,Computer Networking,
Network,Network Infrastructure,Network Design & Architecture,Network Communications,
Network,Network Infrastructure,Network Design & Architecture,Architectural Design,
Network,Networking,Network Design & Management,Communication Networking,
Network,Networking,Network Design & Management,Backbone Network,
Network,Networking,Networking Security Management,IT Network Security,
Network,Networking,Network Administration,IT Network Administration,
Network,Networking,Networking Security Management,Network Security Management,
Network,Networking,Networking Security Management,Network Security Technology,
Network,Networking,Network Configuration,H2,
Network,Networking,Network Configuration,Ethernet,
Network,Networking,Network Configuration,Ethernet Fabrics,
Network,Networking,Network Configuration,Carrier Ethernet ,
Network,Network Infrastructure,Network Management,Local Area Network,
Network,Network Infrastructure,Network Management,Local Area Management,
Network,Network Infrastructure,Network Management,Layer 2 Switching,
Network,Network Infrastructure,Network Management,Layer 2 VPNs,
Network,Network Infrastructure,Network Management,VX LAN,
Network,Network Infrastructure,Network Management,Local Area Network Switching,
Network,Network Infrastructure,Network Management,Metropolitan Area Networks,
Network,Network Infrastructure,Network Management,Metropolitan-Area Ethernet,
Network,Network Infrastructure,Network Management,Virtual Local Area Network,
Network,Network Infrastructure,Network Management,Virtual Private LAN Services  ,
Network,Network Infrastructure,Network Management,Network Management Application,
Network,Network Infrastructure,Network Management,Network Management Solution,
Network,Network Infrastructure,Network Management,Network Monitoring,
Network,Network Infrastructure,Network Management,Network Storage   ,
Network,Network Infrastructure,Network Management,Network Operations,
Network,Network Infrastructure,Network Management,Network Project Management,
Network,Network Infrastructure,Network Management,Enterprise IT Infrastructure,
Network,Network Infrastructure,Network Management Software Administration,Skill Family & Core Skill,
Network,Network Infrastructure,Network Communication Management,Cisco Unified Messaging,
Network,Network Infrastructure,Network Infrastructure Management,Physical Networking,
Network,Network Infrastructure,Network Infrastructure Management,Unified Communication Infrastructure,
Network,Network Infrastructure,Network Device Management,Switch Software,
Network,Network Infrastructure,Operating Systems,Apple Mac OS,
Network,Network Infrastructure,Cisco  ,Cisco Networking Infrastructure,
Network,Network Infrastructure,Cisco  ,Cisco Telephony,
Network,Network Infrastructure,Cisco  ,Integration Services,
Network,Network Infrastructure,Cisco  ,Cisco Technologies,
Network,Network Infrastructure,Cisco  ,Cisco Unified Border Element,
Network,Network Infrastructure,Cisco  ,Cisco Unified Call Manager Express,
Network,Network Infrastructure,Cisco  ,Cisco Unified Contact Center Enterprise ,
Network,Network Infrastructure,Cisco  ,Cisco Unified  Enterprise Attendant Console,
Network,Network Infrastructure,Cisco  ,Cisco Unified Operations Manager,
Network,Network Infrastructure,Cisco  ,Cisco UCS Manager,
Network,Network Infrastructure,Cisco  ,Cisco Unified Presence Server,
Network,Network Infrastructure,Cisco  ,Cisco Unified Customer Voice Portal,
Network,Network Infrastructure,Cisco  ,Cisco Voice Gateway,
Network,Network Infrastructure,Cisco  ,Cisco Servers,
Network,Network Infrastructure,Cisco  ,Cisco Design,
Network,Network Infrastructure,Cisco  ,Cisco UCS Servers,
Network,Network Infrastructure,Cisco  ,Cisco Unity Connection,
Network,Network Infrastructure,Cisco  ,Cisco collabration,
Network,Network Infrastructure,Cisco  ,Cisco IOS,
Network,Network Infrastructure,Cisco  ,Cisco Products ,
Network,Network Infrastructure,Cisco  ,Cisco VCS Expressway,
Network,Network Infrastructure,Cisco  ,Cisco Emergency Responder (CER),
Network,Network Infrastructure,Cisco  ,Cisco Services ,
Network,Network Infrastructure,Cisco  ,Cisco MDS,
Network,Network Infrastructure,Cisco  ,Cisco ACI,
Network,Network Infrastructure,Cisco  ,Cisco NAC,
Network,Network Infrastructure,Cisco  ,Cisco NX-OS,
Network,Network Infrastructure,Cisco  ,Cisco VPN,
Network,Network Infrastructure,Cisco  ,Cisco TCL,
Network,Network Infrastructure,Cisco  ,Cisco Catalyst Switches,
Network,Network Infrastructure,Cisco  ,Cisco Discovery Protocol,
Network,Network Infrastructure,Cisco  ,Cisco SMARTNet,
Network,Network Infrastructure,Cisco  ,Cisco Wirelesss LAN Controller,
Network,Network Infrastructure,IT Infrastructure,Network Components,
Network,Network Infrastructure,IT Infrastructure,IT Network Management,
Network,Network Infrastructure,IT Infrastructure,Network systems,
Network,Network Infrastructure,IT Infrastructure,Global IT Infrastructure ,
Network,Network Infrastructure,IT Infrastructure,Network Engineering,
Network,Network Infrastructure,IT Infrastructure,Network Programming,
Network,Network Infrastructure,IT Infrastructure,Versa Software Defined Wide Area Networks(SD-WAN),
Network,Network Infrastructure,IT Infrastructure,Software Define Networking,
Network,Network Infrastructure,IT Infrastructure,Multiprotocol Label Switching,
Network,Network Infrastructure,IT Infrastructure,MPLS TE,
Network,Network Infrastructure,IT Infrastructure,MPLS Architecture ,
Network,Network Infrastructure,IT Infrastructure,MPLS L3VPN ,
Network,Network Infrastructure,IT Infrastructure,MPLS VPNs,
Network,Network Infrastructure,IT Infrastructure,Nagios,
Network,Network Infrastructure,IT Infrastructure,Power Solutions,
Network,Network Infrastructure,IT Infrastructure,System Center Operations Manager,
Network,Network Infrastructure,Fundamental Abilities,Terraform,
Network,Network Infrastructure,Fundamental Abilities,Terraform Software,
Network,Network Infrastructure,Network Deployment Planning,Network Deployment,
Network,Network Infrastructure,Network Planning & Implementation,Network Migration,
Network,Network Infrastructure,Network Storage Administrature,Storage Area Network,
Network,Network Infrastructure,Network Storage Administrature,Data Center Technologies ,
Network,Network Infrastructure,Network Storage Administrature,Data Center Networks,
Network,Network Infrastructure,Network Storage Administrature,Storage Area Network Management,
Network,Network Infrastructure,Network Storage Administrature,Software-Defined Networking Wide Area Network,
Network,Network Infrastructure,Network Storage Administrature,Storage Networking Software,
Network,Network Infrastructure,Network Storage Administrature,Access Servers,
Network,Network Infrastructure,File Server Administration,Network File Servers,
Network,Network Infrastructure,Network Administration,Networking Solutions,
Network,Network Infrastructure,Network Administration,HP Networking,
Network,Network Infrastructure,Network Administration,Converged Networking,
Network,Network Infrastructure,Network Administration,Network Service,
Network,Network Infrastructure,Network Administration,Cisco Networking Devices,
Network,Network Infrastructure,Network Administration,Information Technology  Infrastructure,
Network,Network Infrastructure,Network System Administration,Network Operating System,
Network,Network Infrastructure,Network Monitoring ,SolarWinds NPM,
Network,Network Infrastructure,Cable Management,Network Cabling,
Network,Network Infrastructure,NetApp SAN Administrations,FreeBSD,
Network,Network Infrastructure,NetApp  ,NetApp NAS,
Network,Network Infrastructure,NetApp  ,NetApp ONTAP,
Network,Network Infrastructure,Server Configuration ,Server Configuration Mangement ,
Network,Network Infrastructure,SAN,EMC Storage Area network,
Network,Network Infrastructure,SAN,Fiber Channel Protocol,
Network,Network Infrastructure,SAN,Network Storage Airays,
Network,Network Infrastructure,SAN,Broacde SAN,
Network,Network Infrastructure,SAN,SAN Infrastructure,
Network,Network Infrastructure,SAN,SAN Storage,
Network,Network Infrastructure,SAN,SAN Technologies,
Network,Network Infrastructure,SAN,Cisco SAN,
Network,Network Infrastructure,SAN,Fibre Channel SAN,
Network,Network Infrastructure,Storage ,EMC VNX,
Network,Network Infrastructure,Storage ,EMC CLARiiON,
Network,Network Infrastructure,Storage ,EMC VNX Storage,
Network,Network Infrastructure,Storage ,Dell EMC Isilon ,
Network,Network Infrastructure,Storage ,EMC Storage  ,
Network,Network Infrastructure,Storage ,EMC Symmetrix,
Network,Network Infrastructure,Storage ,Enterprise Storage,
Network,Network Infrastructure,Storage ,Storage Device ,
Network,Network Infrastructure,Storage ,Storage Services ,
Network,Network Infrastructure,Storage ,Storage Technology ,
Network,Network Infrastructure,Storage ,Logical Volume Management ,
Network,Network Infrastructure,Storage ,Nimble ,
Network,Network Infrastructure,Storage ,Storage Management ,
Network,Network Infrastructure,Storage ,Storage System ,
Network,Network Infrastructure,Storage ,Mass Storage Devices,
Network,Wireless,Wireless Networking,Wireless Networking Technology,
Network,Wireless,Wireless Networking,Network Virtualization,
Network,Wireless,Wireless Networking,Wireless Network Design,
Network,Wireless,Wireless Networking,Wireless Network Management,
Network,Wireless,Wireless Networking,Wireless Network Security,
Network,Wireless,Wireless Networking,Wireless Network Controllers ,
Network,Wireless,Wireless Networking,Cisco Wireless Access Point ,
Network,Wireless,Wireless Networking,Wireless Networks,
Network,Wireless,Wireless Networking,Outdoor Wireless,
Network,Wireless,Cisco Configuration & Management,Cisco Wireless Networking,
Network,Wireless,Wireless Networking,Wireless Access Point,
Network,Wireless,Wireless Networking,Wireless Architecture,
Network,Wireless,Wireless Networking,Wireless Design,
Network,Wireless,Wireless Networking,Wireless LAN design,
Network,Wireless,Wireless Networking,Wireless Security,
Network,Wireless,Wireless Networking,Wireless Security Systems,
Network,Wireless,Wireless Networking,Wireless Solutions,
Network,Wireless,Wireless Networking,Wireless Technologies,
Network,Wireless,Wireless Networking,Wireless Broadband,
Network,Wireless,NOC Operations & Management,Network Security Operations,
Network,Networking,RSVP-TE Configuration,RSVP-TE,
Network,Networking,NOC Operations & Management,Network Operations Center,
Network,Networking,NAT Configuration & Management,Network Address Translation,
Network,Networking,MPLS Configuration & Management,MPLS Networking,
Network,Networking,Switch Configuration & Management,Computer Network Switches,
Network,Networking,Data Configuration & Management ,Data Communication Networks,
Network,Networking,Data Configuration & Management ,Data Networking ,
Network,Networking,Setup Configuration & Management ,Network Setup,
Network,Networking,Security Configuration & Management,Network Security,
Network,Networking,WLAN Configuration & Management,Wireless Local Area Network(WLAN),
Network,Networking,Juniper Configuration & Management,Juniper Networking ,
Network,Networking,Security Configuration & Management,Network Security Monitoring,
Network,Networking,Internet  Configuration & Management,internet Network,
Network,Networking,NAS Configuration & Management,Network - Attached Storage,
Network,Networking,Wi-Fi Network Configuration &Management,Wi Fi Networking,
Network,Networking,SDH Configuration & Management,SDH Network,
Network,Networking,DNA Configuration & Management,Cisco Digital Network Architecture (DNA),
Network,Networking,Application Development& Management  ,Network Applications Software ,
Network,Networking,Application Development& Management  ,Network Applications ,
Network,Networking,Ethernet Configuration,Ethernet,
Network,Networking,Network Management,Tivoli Netcool,
Network,Networking,NFV Implementations,Network Functions Virtualization,
Network,Networking,Palo Alto Networks Adminisration,Palo Alto Networks,
Network,Networking,Palo Alto Networks Adminisration,Palo Alto Networks Panorama,
